scenario,royalty_group,kappa_group,mint_group,n,mean_delta_share_B,mean_delta_share_gap,mean_delta_switch
blur_matches_opensea_enforcement,low,Blur stronger,Blur mint,44,0.0,0.0,0.0
blur_matches_opensea_enforcement,low,Blur stronger,Blur nonmint,0,,,
blur_matches_opensea_enforcement,low,OpenSea stronger,Blur mint,34,0.03695254653919968,0.07390509307839936,-0.03695254653919968
blur_matches_opensea_enforcement,low,OpenSea stronger,Blur nonmint,3,0.014892576808669214,0.02978515361733843,0.014892576808669214
blur_matches_opensea_enforcement,low,Parity,Blur mint,88,0.0010387651532355552,0.0020775303064711104,-0.0010387651532355552
blur_matches_opensea_enforcement,low,Parity,Blur nonmint,9,0.0019338149258520954,0.0038676298517041907,0.0019338149258520954
blur_matches_opensea_enforcement,medium,Blur stronger,Blur mint,819,2.1689338698415757e-18,4.337867739683151e-18,-2.1689338698415757e-18
blur_matches_opensea_enforcement,medium,Blur stronger,Blur nonmint,96,1.734723475976807e-18,3.469446951953614e-18,1.734723475976807e-18
blur_matches_opensea_enforcement,medium,OpenSea stronger,Blur mint,1429,-0.002840349824569145,-0.00568069964913829,0.002840349824569145
blur_matches_opensea_enforcement,medium,OpenSea stronger,Blur nonmint,306,-0.015458922320479688,-0.030917844640959376,-0.015458922320479688
blur_matches_opensea_enforcement,medium,Parity,Blur mint,2852,-0.0004379120082172684,-0.0008758240164345368,0.0004379120082172684
blur_matches_opensea_enforcement,medium,Parity,Blur nonmint,609,-0.0006954475773392691,-0.0013908951546785385,-0.0006954475773392691
blur_matches_opensea_enforcement,high,Blur stronger,Blur mint,112,1.982541115402065e-18,3.96508223080413e-18,-1.982541115402065e-18
blur_matches_opensea_enforcement,high,Blur stronger,Blur nonmint,15,0.0,0.0,0.0
blur_matches_opensea_enforcement,high,OpenSea stronger,Blur mint,221,-0.031099047327412768,-0.062198094654825536,0.031099047327412768
blur_matches_opensea_enforcement,high,OpenSea stronger,Blur nonmint,64,-0.05220744684501851,-0.10441489369003702,-0.05220744684501851
blur_matches_opensea_enforcement,high,Parity,Blur mint,520,-0.0018885551080470642,-0.0037771102160941285,0.0018885551080470642
